datetime,temp,humidity,windspeed,conditions,description
2023-03-11,18.4,73.9,17.2,Partially cloudy,Partly cloudy throughout the day.
2023-03-12,17.6,66.4,17.3,Partially cloudy,Partly cloudy throughout the day.
2023-03-13,17,71.3,15.1,Partially cloudy,Partly cloudy throughout the day.
2023-03-14,22.3,63.1,17.2,Partially cloudy,Partly cloudy throughout the day.
2023-03-15,20,78.9,11.5,Partially cloudy,Partly cloudy throughout the day.
2023-03-16,22.1,59.8,14.8,Partially cloudy,Partly cloudy throughout the day.
2023-03-17,19.1,62.9,11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-03-18,22,57.3,28.1,Partially cloudy,Partly cloudy throughout the day.
2023-03-19,17.7,72.3,13.4,Overcast,Cloudy skies throughout the day.
2023-03-20,17.2,55,19,Partially cloudy,Partly cloudy throughout the day.
2023-03-21,15.7,72,8.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-03-22,18.4,81.2,13.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2023-03-23,18,83.9,11.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2023-03-24,17.4,71,15.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2023-03-25,15.8,67.9,20.7,Partially cloudy,Partly cloudy throughout the day.
2023-03-26,15.4,71.5,11.3,Partially cloudy,Partly cloudy throughout the day.
2023-03-27,16.4,87.2,10.9,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-03-28,17.9,85.8,13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-03-29,16.2,76.9,20.7,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-03-30,15.4,69.9,15.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2023-03-31,15.7,72.2,17,"Rain, Overcast",Cloudy skies throughout the day with rain.
2023-04-01,13.4,70.3,15.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2023-04-02,13.6,68.7,12.6,Partially cloudy,Partly cloudy throughout the day.
2023-04-03,15.1,79.9,11.5,Partially cloudy,Partly cloudy throughout the day.
2023-04-04,16.5,85.7,15.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2023-04-05,16.3,81.9,11.3,Overcast,Cloudy skies throughout the day.
2023-04-06,18.9,69,20.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2023-04-07,17.1,77.8,18.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
